circuit,image_rows,image_cols,barcode_rows,barcode_cols,max_rows,max_cols,max_ec_level,chunk_size,prover_time_1,prover_time_2,prover_time_3,prover_time_4,prover_time_5,prover_ram_1,prover_ram_2,prover_ram_3,prover_ram_4,prover_ram_5,verifier_time_1,verifier_time_2,verifier_time_3,verifier_time_4,verifier_time_5,verifier_ram_1,verifier_ram_2,verifier_ram_3,verifier_ram_4,verifier_ram_5
binarize,480,640,468,618,3,2,0,6,5472.19,5365.35,5403.62,5484.05,5503.21,4494256,4503688,4491668,4397384,4573340,499.54,445.92,455.3,473.94,513.92,451932,453420,452928,452812,452384
binarize,480,640,468,618,3,2,1,6,5224.64,5336.98,5297.44,5217.31,5215.13,4493548,4504104,4491052,4367884,4445836,509.53,462.36,451.19,526.51,467.49,451908,452380,452280,452820,452844
binarize,480,640,480,513,10,6,0,9,4211.9,4188.13,4150.63,4303.24,4210.07,3559940,3574004,3461236,3529624,3550412,400.66,403.2,401.7,411.29,400.43,417752,415732,417232,414640,416224
binarize,480,640,480,513,10,6,1,9,4225.82,4192.89,4176.35,4272.53,4540.81,3477260,3502020,3355256,3446336,3501584,406.23,399.93,403.64,411.68,396.53,415712,415192,415748,415456,417268
binarize,480,640,462,580,21,13,0,10,4887.71,4813.67,4937.02,4875.78,4833.23,3840692,3687796,3658744,3759676,3745752,446.2,445.3,442.74,443.31,454.05,443380,442764,442260,442280,442824
binarize,480,640,462,580,21,13,1,10,4830.04,4692.52,4849.84,4904.12,4799.8,3809232,3687748,3843888,3565512,3810340,441.99,456.11,441.01,447.55,456.57,441884,441880,442952,442364,442248
binarize,480,640,462,580,21,13,5,10,4854.52,4683.36,4865.34,5329.83,4887.92,3689324,3688724,3773480,3769388,3691232,445.08,447.01,466.02,496.57,441.46,443368,442284,443292,442372,443820
binarize,480,640,462,580,60,20,0,10,4830.46,4921.04,5039.27,4781.22,4782.8,3710896,3838920,3834668,3699940,3709084,432.56,446.79,498.31,502.53,493.95,443312,443276,443228,442800,442240
binarize,480,640,462,580,60,20,1,10,4744.01,5331.39,4658.53,5093.4,4841.84,3584708,3697112,3713672,3840316,3689784,436.63,438.87,510.33,441.83,498.57,443896,442844,442416,442504,442908
binarize,480,640,462,580,60,20,5,10,4686.83,5009.82,5248.19,4708.14,4765.28,3698196,3883552,3726228,3730896,3729468,453.13,441.82,434.24,485.42,448.89,442424,442872,442772,442288,442892
binarize,480,640,462,580,60,20,8,10,5116.21,4919.34,4901.72,4791.28,4700.03,3895708,3824092,3675692,3746444,3701132,498.4,452.27,443.1,441.2,448.48,442832,442052,443880,441844,441356
